claim,evidence,label
Video shows X owner Elon Musk promoted a “bedtime trick” to cure diabetes.,The video manipulated footage from Elon Musk’s Nov. 4 appearance on Joe Rogan’s podcast. | Musk didn’t mention diabetes in the original interview. | The post contains a link to a fake Fox News page that contains artificially generated testimonials selling a dietary supplement.,refutes
Wisconsin does not “require judges to automatically recuse just because they have done some kind of legal work in the past as a lawyer.”,"The judicial code of conduct requires recusal if the judge or justice ""served as a lawyer in the matter in controversy."" | The ""matter"" refers to a specific lawsuit, not a broad issue like abortion. But there are certainly gray areas. | Ultimately, it’s up to justices themselves to decide whether they will be able to rule impartially.",supports
“The NFL admits to canceling Elon's DOGE Super Bowl ads.”,This claim originated from satire.,refutes
“DOGE subcommittee discovered $2.7 trillion in improper” Medicaid and Medicare payments to people overseas.,"The U.S. Government Accountability Office, a nonpartisan Congressional agency, first published in March a report that estimated federal agencies had made $2.7 trillion worth of improper payments since fiscal year 2003. | The payments were made by many federal programs, not only Medicare and Medicaid. | GAO auditors said reasons for the improper payments could range from administrative issues to fraud.",refutes
"Rep. Nancy Pelosi has a $223,000 salary and a $202 million net worth. Sen. Mitch McConnell has a $200,000 salary and a $95 million net worth. Sen. Chuck Schumer has a $210,000 salary and a $75 million net worth. Sen. Elizabeth Warren has a $285,000 salary and a $67 million net worth.","As rank-and-file members of Congress, Rep. Nancy Pelosi, D-Calif., Sen. Mitch McConnell, R-Ky., and Sen. Elizabeth Warren, D-Mass., each receive a salary of $174,000. As the Senate minority leader, Sen. Chuck Schumer, D-N.Y., receives a higher wage of $193,400. | The X post overstated the net worths of McConnell, Schumer and Warren by tens of millions of dollars each, according to 2023 public financial disclosures. | Lawmakers are allowed to disclose their assets in ranges, rather than in precise figures. Pelosi’s disclosures show the X post’s $202 million net worth figure is possible given the range of what she has reported, but much of that disclosed wealth is held solely by her husband.",uncertain
"The federal workforce grew from 2.1 to 3 million under President Joe Biden, “a 46% increase since Biden took office.”","President Joe Biden increased the federal workforce by about 5%, the highest increase in any single term since the 1980s. | But the number grew by about 130,000, not 900,000. | President Donald Trump oversaw a 2.6% increase in federal employment during his first term, but he cut staff at most federal agencies.",refutes
“Elon Musk announced that he will not sell Tesla Cybertruck to anyone belonging to the ‘pride’ community.”,PolitiFact found no evidence that Tesla CEO Elon Musk made such a statement. | The claim appears to have originated as satire.,refutes
"“Mel Gibson passes on $100 million Netflix deal to work with Robert De Niro, declares: ‘Keep that woke clown away from me.’”",This claim originated from satire.,refutes
"Under the SAVE Act, “if you are a woman that has changed your name from your birth certificate, let’s say through marriage … you are no longer eligible to vote.”",People whose names don’t match on identifying documents may have a hard time registering to vote if the SAVE Act becomes law. | The bill requires states to establish processes to address discrepancies in documents. | A married person who takes a spouse’s last name would have to provide more documentation than others to prove citizenship.,uncertain
“FEMA sent $59M LAST WEEK to luxury hotels in New York City to house illegal migrants… That money is meant for American disaster relief.”,"The Federal Emergency Management Agency awarded New York City money as part of a program Congress created to help states, municipalities and nonprofits provide basic services to immigrants. | The program uses Customs and Border Protection funding and is managed by FEMA. It does not use money from FEMA’s Disaster Relief Fund. | New York City does not house migrants in luxury hotel rooms. In 2024, it spent an average of $156 dollars per night per hotel room, below the General Services Administration’s rate. ​",refutes
An episode of “The Simpsons” showed a President Donald Trump-like character in a coffin and predicted Feb. 14 would be the “day everything changes.”,"The video was previously shared on a TikTok account that features videos created with artificial intelligence. | The version of President Donald Trump that has been featured in ""The Simpsons"" is not animated the same way as the Trump in the Facebook posts. | The claim that ""The Simpsons"" featured Trump inside a coffin has been circulating since at least 2017, when it was debunked by Snopes and found to have originated on the online forum 4chan.",refutes
Former USAID Administrator Samantha Power’s net worth “skyrocketed” from $6.7 million to $30 million in three years.,"Before becoming USAID administrator in 2021, Samantha Power reported a net worth of $10 million to $29.5 million. Her term ended in 2025. | Power’s assets included compensation and benefits from her Harvard University job, capital gains from the Social+Capital Partnership LLC, multiple book royalties and honoraria from speaking engagements. | Power’s solely owned assets decreased while she was in the USAID job. And her financial disclosures show that when her assets, including her investments, were combined with her spouse’s, their value remained fairly consistent throughout her term.",refutes
Pennsylvania Gov. Josh Shapiro is “being charged with the attempted assassination of Trump.”,A private citizen filed a criminal complaint Feb. 7 accusing Pennsylvania Gov. Josh Shapiro of involvement in the July assassination attempt against President Donald Trump. | Pennsylvania law allows citizens to file criminal complaints against other citizens. A district attorney then decides whether the allegations have enough merit to begin an investigation. | Butler’s district attorney said he rejected a similar complaint about Shapiro in July and that no investigation of Shapiro is underway. He is reviewing the February complaint but said he does not anticipate it resulting in an investigation.,refutes
"President Donald Trump said he “‘didn’t have time’ to meet the families of the men, women and children who tragically died in the plane crash.”","President Donald Trump told reporters he planned to meet with relatives of those who died in the midair collision between a passenger plane and a Black Hawk Army helicopter in the Washington, D.C., area.",refutes
Photo shows National Intelligence Director Tulsi Gabbard and President Donald Trump at her swearing-in.,This photo is from an October 2024 campaign event.,refutes
"The United States is “last in education out of 40 states … but we're number one in cost per pupil.""","In a measure of 37 developed countries, the U.S. scored above average in reading and science and below average, but not last, in math. | The U.S. is far from last on other metrics, such as the share of its population that’s educated and the average number of years people spend on their education. | The U.S. spends more per pupil on education than most other countries, but it is not the world’s top education spender per pupil.",refutes
Elon Musk spent $40 million to buy five Super Bowl Commercial ads to promote DOGE.,"A complete list of 2025 Super Bowl ads by Adweek, a marketing magazine, didn’t include a Department of Government Efficiency ad. | A Google search for a DOGE commercial yielded no results. | The post’s photo is old and unrelated to Musk purchasing Super Bowl commercials. It shows Musk celebrating buying Twitter in 2022 while drinking bourbon with colleagues, according to the Daily Mail.",refutes
Coca-Cola “sells out its own workers to ICE.”,"A Coca-Cola spokesperson told PolitiFact that the accusation that The Coca-Cola Co.called immigration authorities to assist in the separation of workers illegally in the U.S. is ""unequivocally false."" | We also found no reports of raids by the U.S. Immigration and Customs Enforcement at Coca-Cola factories in recent history. | The company gave a personalized bottle to President Donald Trump on Jan. 14 for his presidential inauguration. This has been a company tradition since 2005.",refutes
Video shows a sinkhole opened in New York City in February 2025.,This video is fake. A reverse-image search using Google Images revealed the original creator had labeled it as artificial intelligence-generated content.,refutes
Video shows celebrities wearing T-shirts with graphics of a middle finger and the word “Kanye.”,This video was created using artificial intelligence. The celebrities featured didn’t actually appear in it.,refutes
"Says Kash Patel said, “FBI investigation uncovers 256 emails between Adam Schiff and Jeffrey Epstein.”",This claim originated on a self-described satire account.,refutes
Photo shows Mexican President Claudia Sheinbaum wearing a “Make America Mexicana Again” hat.,This isn’t an authentic image of the Mexican president. A watermark on some versions of the image signaled it was created using artificial intelligence.,refutes
"Says Mexican President Claudia Sheinbaum told President Donald Trump, “They will beg us to tear down this ugly wall.”",This claim is unfounded.,refutes
"Bill Gates said, “Defunding USAID will bring about another mystery illness across the world.”","Entrepreneur and philanthropist Bill Gates said stopping the U.S. Agency for International Development’s funding could lead to ""millions of deaths."" He didn’t say USAID’s closure would cause the next pandemic. | Gates separately predicted there would be another pandemic.",refutes
“JAG arrests … USDA Inspector General Phyllis Fong.”,This claim is unfounded and originated on a website that publishes fabricated stories.,refutes
Video shows President Donald Trump was “booed at the Super Bowl.”,"This video footage is from 2020, and it was altered.",refutes
"Says U.S. Sen. Elizabeth Warren said, “There is nothing in the Constitution that says ordinary citizens have a right to see what we spend our tax dollars on.”",This claim is unfounded.,refutes
Photo shows someone raising two middle fingers at President Donald Trump at the 2025 Super Bowl.,This photo is from 2023.,refutes
President Donald Trump posted that “the Chiefs’ Super Bowl performance was a disaster” and “too focused on DEI nonsense.”,"A fake Truth Social post circulating on Threads appeared to show President Donald Trump saying the Kansas City Chiefs were ""too focused on DEI nonsense"" and that the Eagles received ""USAID money flowing in like water."" | This post is fabricated — Trump did not post this on social media.",refutes
A ‘60 Minutes’ clip shows Kamala Harris lying while cameras roll. “,"The unedited ‘""60 Minutes"" interview with former Vice President Kamala Harris didn’t show correspondent Bill Whitaker confronting Harris for lying during the interview when the cameras were off. It showed a crew member gathering extra over-the-shoulder footage and room tone for the broadcast post-interview. | A Feb. 5 ""60 minutes"" statement says the broadcast was ""not doctored or deceitful"" but ""journalists regularly edit interviews — for time, space or clarity.""",refutes
Ring is “alerting people about (Immigration and Customs Enforcement) raids.”,"Ring offers Neighbors, an app allowing users to send messages to nearby users. | Acustomer using Neighbors, not Ring, sent the message, alerting app users of immigration enforcement activity nearby.",refutes
"As head football coach at Texas Tech University, “I recruited (Patrick Mahomes) ... I’ve got to be very good friends with him.”","Sen. Tommy Tuberville, R-Ala., said during a podcast appearance that he ""recruited"" Kansas City Chiefs quarterback Patrick Mahomes when Tuberville was Texas Tech University’s head football coach. | When asked about his relationship with Tuberville, Mahomes said, ""He did not recruit me,"" and said he didn’t recall whether he’d ever met Tuberville. | Tuberville’s time as head football coach of Texas Tech University’s Red Raiders didn’t overlap with Mahomes’ time on the team. In news reports, Mahomes said Tuberville’s Texas Tech successor Kliff Kingsbury recruited him.",refutes
"At Guantánamo Bay, “we'll have the capacity to continue to do there what we've always done. We've always had a presence of illegal immigrants there that have been detained.”","In the 1990s, the U.S. held thousands of Cubans and Haitians at Guantánamo Bay after being intercepted at sea on their way to the U.S. In recent years, fewer than 100 people have been held there. | Previous administrations held people at a migrant detention center. | The Trump administration is flying people from U.S. soil to Guantánamo Bay. They are being held at a detention building that used to hold terrorism suspects.",supports
"“Elon Musk officially cancelled USAID and fired all the staff. In his words, ‘we just toppled one of the biggest globalist terror organizations in history.’”","Facebook users misattributed the quote to X owner Elon Musk. | Provocateur Milo Yiannopolous said on X, ""By closing USAID, Trump and Musk have toppled the most gigantic global terror organization in history."" Musk reshared Yiannopoulous’s post. | Although Musk and President Donald Trump have begun dismantling the U.S. Agency for International Development, they have not officially shuttered the agency.",uncertain
"CBS News and “60 Minutes” “replaced” former Vice President Kamala Harris’ interview answers “with completely different, and far better, answers, taken from another part of the interview.”","The unedited transcript of CBS News’ ""60 Minutes"" interview with then-Vice President Kamala Harris doesn’t show that the news outlet replaced Harris’ answers to questions about U.S.-Israel relations with responses from a different part of the interview. | CBS News used a longer version of Harris’ answer in a video clip preview on the CBS News show ""Face the Nation."" It used a shorter excerpt in the ""60 Minutes"" interview that aired Oct. 7, 2024. Both versions come from the same three-and-a-half-minute exchange on U.S.-Israel relations. | It’s standard practice for news outlets to edit interviews for length and clarity.",refutes
The U.S. Army helicopter in the Jan. 29 plane collision was the same model of helicopter in the 2020 Kobe Bryant crash.,"The two aircrafts were made by Sikorsky, a leading helicopter manufacturer, but they are not the same model and have different uses. | The helicopter that crashed in 2020, killing Basketball Hall of Famer Kobe Bryant, his daughter and seven others, was a Sikorsky S-76B luxury aircraft. | The U.S. Army helicopter that collided midair with a plane, killing 67 people, was a Sikorsky UH-60 ""Black Hawk"" helicopter.",refutes
Recent plane crashes in the United States were “human sacrifice rituals” for the Super Bowl.,These claims are unfounded.,refutes
“Breaking news: Taylor Swift officially banned from Super Bowl 2025.”,There’s no proof that pop superstar Taylor Swift was banned from attending the Super Bowl.,refutes
“Elon Musk says Italians should stay in Italy and the Japanese in Japan.”,Elon Musk didn’t say this. It oversimplifies comments he made in 2023 about what he thinks countries with declining birth rates must do to protect their cultures.,refutes
An image of a website error code shows the Trump administration “trolling” former Vice President Kamala Harris.,"This error code appears on former Vice President Kamala Harris’ personal website, not the White House’s site.",refutes
Graphic shows that the U.S. Agency for International Development paid Chelsea Clinton $84 million.,"A graphic widely shared on social media originated from an anonymous Republican website that says it tracks federal money to nongovernmental organizations and charities. | The graphic shows 30 organizations it said were connected to the Clinton Foundation. It said the foundation had $83,624,489 in gross receipts for tax year 2023, and received $17,500 in taxpayer money. It did not say Chelsea Clinton individually received that amount or that the U.S. Agency for International Development paid that amount to the foundation. | The website on which the graphic originated specifically said Chelsea Clinton received no payment for serving as the organization’s vice chair.",refutes
An E! News report said USAID paid millions of dollars to sponsor American celebrity visits to Ukraine.,An E! News spokesperson told PolitiFact the video is inauthentic. | Actor Ben Stiller said he personally financed his trip to Ukraine. | Sean Penn’s lawyer said Penn self-funded his travel.,refutes
"""Empresa Coca-Cola le pide perdón a los inmigrantes y le envían un mensaje especial a todos los afectados"".","No encontramos reportes verídicos de que The Coca-Cola Company le pidió perdón a inmigrantes en EE.UU. | Tampoco hay evidencia de redadas de inmigración en fábricas de la bebida gaseosa en 2025. | La compañía le dió una botella personalizada al presidente Donald Trump el 14 de enero, por su investidura presidencial. Esta es una tradición de la compañía desde el 2005.",refutes
Early reports of four survivors show “this DC plane crash story isn’t adding up.”,"Initial reports that people were rescued following the Jan. 29 crash of a U.S. Army helicopter and an American Airlines passenger jet over the Potomac River doesn’t prove the crash ""story isn’t adding up"" or that the collision was preplanned. During breaking news events, details often emerge slowly and can change as more information becomes available. | Outlets that reported victims were rescued later reported that no one had survived the midair collision.",refutes
On support for U.S. Agency for International Development,"As a U.S. senator, Marco Rubio supported foreign aid and praised the U.S. Agency for International Development, aka USAID. | Since he became secretary of state and USAID’s acting director, Rubio has criticized the agency and described it as fraught with ""rank insubordination"" and a hindrance to the president’s foreign policy efforts. | His record of public comments shows some measured thoughts about spending choices and transparency. But his recent claims are a notable departure.",refutes
"Says Elon Musk said, the Pentagon was spending $600 million a year on sushi.",This claim originated on a parody account. Musk didn’t say it.,refutes
Video shows Robert Kennedy Jr. promoting a diabetes cure.,This video was altered.,refutes
Florida’s in-state college tuition waiver for immigrants in the country illegally costs the state $41 million.,"Florida is on the brink of revoking a 2014 law that allows immigrants in the country illegally who meet certain conditions to pay in-state college tuition rates, typically much lower than out-of-state rates. | A Florida Senate analysis estimated that for the 2023-24 fiscal year, the value of the waived out-of-state fees totaled about $40.6 million. But that doesn’t mean the state paid that amount for the program. The program does not technically cost the state money. | Education policy experts said revoking the provision would likely cause colleges and universities to lose revenue. Many of Florida’s colleges already have enrollment numbers below prepandemic levels.",uncertain
Video shows Robert Kennedy Jr. promoting a diabetes cure.,This video was altered.,refutes
Video shows President Donald Trump saying Mexicans call him “peachy cool arrow.”,"A video seems to show President Donald Trump saying Mexicans call him a ""peachy, cool arrow."" It was altered from a 2017 clip.",refutes
“Al patinador artístico estadounidense Jon Maravilla se le negó el embarque en el vuelo de American Airlines (hacía Washington D.C.) que posteriormente colisionó con un helicóptero”.,El patinador artístico estadounidense Jon Maravilla estuvo en Kansas con otros patinadores que luego abordaron el avión de American Airlines que colisionó con un helicóptero militar Black Hawk el 29 de enero. | Pero él iba a otra ciudad en otro avión.,refutes
Federal websites updated with a nine-star flag that represents the Confederacy.,"A flag icon with nine stars stacked horizontally that sits atop most federal government websites has been used since 2017. It was not added after President Donald Trump’s second term began. | The design was limited to nine stars for space, and does not represent any current or past flag, the General Services Administration, which guides federal website standards, said. | Civil War historians told PolitiFact the flag does not represent a Confederate flag. The first Confederate flag had a varying number of stars based on how many states seceded from the Union. Some versions had nine stars, but they were arranged in a circle.",refutes
"From the U.S. Agency for International Development funding, “10 to 30 cents on the dollar is what actually goes to aid.”","A January U.S. Agency for International Development report said that in 2024, 12.1% of the agency’s money went directly to local organizations in foreign countries. | That doesn’t mean the remaining 88% isn’t used to help people who need food, medicine and services. | Most of the remaining money is distributed through organizations and companies that operate internationally — including some that are based in the U.S. — that then use the money to help people in foreign countries.",refutes
"Video shows a missile crashed in a Philadelphia neighborhood Jan. 31, not a jet.",A Learjet crashed Jan. 31 in a Philadelphia neighborhood. That’s what this video shows — not a missile.,refutes
"“U.S. figure skater Jon Maravilla was reportedly prevented from boarding a doomed flight to Washington, D.C.”",American figure skater Jon Maravilla was in Kansas with other skaters who later boarded the American Airlines flight that crashed with a U.S. Army Black Hawk helicopter Jan. 29. But he was bound for another city on another plane.,refutes
"“El gobernador de California le ha dejado las cosas bien claras a Donald Trump que si llega a deportar a los inmigrantes que viven en California el estado independizara de Estados Unidos y se unirá con México"".","No encontramos reportes verídicos que digan que el gobernador de California, Gavin Newsom, amenazó al presidente Donald Trump de independizar el estado de EE.UU. y unirlo a México. | Un portavoz de Newsom le dijo a PolitiFact que la publicación es falsa.",refutes
"Mexico’s President Claudia Sheinbaum said, “I’m confused. I keep hearing everyone from America saying that my country is sending felons and (rapists) into their country. We thought that was encouraged … considering that’s what they chose to be their president.”","We found no evidence that Mexico President Claudia Sheinbaum said this. | The quote seems to have originated from a TikTok account that says it publishes ""awful sports takes, brutal sportsbetting picks, plus other random nonsense.""",refutes
"“The Trump administration is giving each and every adult in America $18,000.”","President Donald Trump has not announced, and Congress has not passed, any new stimulus checks for Americans. | The post refers people to the website ""findhelp.org,"" which is not an official federal government site. We found no information on the site about a federal government program giving out $18,000 checks.",refutes
Ukrainian President Volodymyr Zelenskyy “just threw the whole Ukraine money laundering operation under the bus … by stating he’s received less than half of the over $177 billion in aid sent by the United States.”,"Much of the money the U.S. has dedicated for Ukraine aid is spent in the U.S. on domestic weapons manufacturers and U.S. military and government operations. | Direct military support to Ukraine totaled about $70 billion out of the $175 billion Congress has appropriated. | The money isn’t being laundered, it’s being spent as Congress intended.",refutes
“Melania wins $900 million ‘defamation lawsuit’ against The View & Sunny Hostin.”,"A search of Google and the Nexis news database for reports about first lady Melania Trump filing a defamation lawsuit against ""The View"" yielded no credible results.",refutes
"Says White House Press Secretary Karoline Leavitt said, “Jesus didn’t have electricity and he did just fine.”",This quote was fabricated. White House Press Secretary Karoline Leavitt didn’t say it.,refutes
Video shows “airplane crash with helicopter in Washington D.C.”,This video doesn’t show the Jan. 29 collision between an American Airlines jet and a Black Hawk helicopter. It’s from a video game.,refutes
Ukrainian officials released list of “kickbacks” given to 18 U.S. politicians.,"A social media post claiming multiple U.S. politicians received millions of dollars in kickbacks from aid to Ukraine has circulated online since October 2023. | The original source, a Thai-language website, cited an unnamed Ukrainian official and provided no evidence supporting the claim. | News database searches yielded no evidence that the claim is credible.",refutes
CNN reported on the Potomac River plane and helicopter crash “hours before it happened.”,"There’s no evidence that CNN reported on the Jan. 29 fatal collision between a commercial flight and a U.S. Army helicopter hours before the event took place. | Social media users claimed that screenshots of a CNN headline about the incident that showed publication dates of several ""hours ago"" proved the incident was planned or a false flag attack. | CNN began reporting on the crash after it happened, according to available report time stamps and a CNN spokesperson’s statement.",refutes
“Elon Musk shocks the world by blocking Pride on X forever: ‘Children must come first.’”,This claim is unfounded.,refutes
"The National Human Trafficking Hotline “in the last four years decided that they would no longer report tips to law enforcement, that they would take a more victim-centered approach.”","The National Human Trafficking Hotline, which started in 2007, reports tips to law enforcement and prioritizes obtaining victims’ consent before going to authorities. The organization alerts authorities, with or without consent, in cases involving imminent harm, child sex abuse or when required by law. | The hotline said it typically refers about one-third of human trafficking victims to law enforcement. | PolitiFact found no announcements from the organization signaling any reporting policy change over the last four years. A hotline spokesperson said its policies ""have remained consistent"" for over a decade and are in line with the federal government’s victim-centered approach in human trafficking cases.",refutes
We’re one of the very few nations that allowed birthright citizenship.”,"About three dozen countries offer citizenship to people born in the country without restrictions, as the U.S. does. | That’s about 18 percent of the total countries in the world, U.S. Sen. Ron Johnson, R-Wis.’ office points out. | Only the U.S. and Canada, which offer birthright citizenship, are considered ""advanced economies"" by the International Monetary Fund. Other nations offering it include Mexico and Brazil. Nearly all are in the Western Hemisphere.",supports
The Black Hawk helicopter involved in the American Airlines crash “was being controlled remotely.”,"Three crew members aboard the Black Hawk helicopter that collided with an American Airlines jet Jan. 29 in Washington, D.C., have been identified and two of their bodies were recovered Feb. 1. | Jonathan Koziol, chief of staff for the U.S. Army’s aviation directorate, said the Black Hawk helicopter involved in the incident had no AI capability.",refutes
"Video shows a dam breaking Sept. 28, 2024, in North Carolina.",Footage in this video comes from places such as the Czech Republic and India. It doesn’t show a purported dam breaking in North Carolina in September 2024.,refutes
"Photo shows “a dangerous serial killer” named Jaden Williams in Monroe, Louisiana.","This is a hoax. Police in Monroe, Louisiana, said the reports of a serial killer on the loose are not true. | The photo included in the post did not show a man named Jaden Williams. It showed Shannon Atkins, who was arrested Jan. 24 in West Palm Beach, Florida, after making violent threats on social media against President Donald Trump. | The Better Business Bureau warns people against these kinds of bait-and-switch scams. The social media posts initially warn of criminal activity in an area, but once shared, scammers change the posts to deceptive ads for rental properties, for example.",refutes
"“1,500 IRS agents have submitted letters of resignation after Trump announced he would put 90,000 superfluous IRS personnel on border patrol.”","The claim originated from satire. | On Jan. 25, President Donald Trump said he would terminate IRS agents or ""move them to the border."" But there’s no proof that 1,500 IRS agents have resigned.",refutes
Photo shows Black Hawk helicopter pilot in fatal crash worked for years with President Joe Biden at the White House.,"Social media posts claiming to show U.S. Army Capt. Rebecca Lobach show a different woman who worked as a White House press assistant. | Lobach was one of three soldiers killed Jan. 29 when their Black Hawk helicopter collided with an American Airlines jet near Washington, D.C. | Lobach did not work at the White House or for former President Joe Biden’s press team. She served as a volunteer military social aide at some White House events, including a Jan. 4 Medal of Freedom ceremony.",refutes
"A Jan. 6, 2021, U.S. Capitol rioter pardoned by President Donald Trump was “killed when she used her 2A rights with a shotgun while being served for eviction.”","A Seattle doctor who participated in the Jan. 6, 2021, attack on the U.S. Capitol was killed in October 2024, before President Donald Trump retook office and pardoned rioters.",refutes
“A dangerous Hispanic couple” is “on the run after killing 3 female police officers.”,"These claims are false, and bait in a scam.",refutes
Video shows “Donald Trump just announced that America will no longer give visas to Nigerians.”,"This video was altered. President Donald Trump mentioned neither Nigerians nor visas during this speech, and no such policy has been announced.",refutes
“Donald Trump is reportedly furious with Elon Musk for convincing him to push out the head of the FAA because Musk was mad SpaceX got fined last September by the FAA for license violations.”,The claim originated as satire.,refutes
Imagen muestra a oficiales de inmigración arrestando a un hombre vestido con una camisa de “Latinos for Trump 2024”.,"Esta foto fue alterada; es de una redada de inmigración del 2018. La imagen original no muestra a alguien con una camisa de ""Latinos for Trump 20224"".",refutes
“I changed the Obama policy (on hiring air traffic controllers) ... And then Biden came in and he changed it.”,"President Barack Obama in 2010 ordered federal agencies to prioritize hiring more people with disabilities. The Federal Aviation Administration incorporated such efforts into its diversity hiring program. | These efforts remained in place throughout President Donald Trump’s first administration. The FAA under Trump expanded its effort to hire people with disabilities, announcing in 2019 a program to hire 20 people with disabilities to be air traffic controllers. | Trump in 2018 eliminated an Obama-era assessment used in hiring air traffic controllers that scored applicants based on their work and education history and personality traits. Biden did not revive it.",refutes
“ICE just announced it is pausing the hotline where people can call to report undocumented immigrants because 90% of the calls are from people reporting Elon Musk.”,This claim originated on a satire page.,refutes
“The Episcopal Archdiocese of Washington has removed” Bishop Mariann Budde “from the National Cathedral.”,"This claim originated on a self-described satire site. The Right Rev. Mariann Budde ""very much remains the Episcopal Bishop of Washington,"" a Washington National Cathedral spokesperson said.",refutes
“Pilot of Blackhawk helicopter that crashed into passenger jet at Reagan National was a transgender woman named Jo Ellis.”,Chief Warrant Officer 2 Jo Ellis is a member of the Virginia Army National Guard. She posted a statement and video on Facebook saying she is alive and debunking the rumor.,refutes
"“As a Californian, we have given more to the recovery of other states than any other state in the union.”","California paid $83.1 billion more in federal taxes than it received from the federal government — more than any other state — in 2022. | When the state’s population is considered, California paid $2,129 more per capita in federal taxes than it received — which is more than all but three other states.",supports
The U.S. has an egg shortage because the “Biden administration and the Department of Agriculture directed the mass killing of more than 100 million chickens.”,"About 108 million commercial egg-laying chickens have died since a highly pathogenic avian influenza outbreak began in 2022, either from the virus or culling, Agriculture Department data shows. | Depopulation of a farm’s chickens, most of which would die anyway, takes place to prevent the virus’ spread. | Depopulation is not a new strategy unique to former President Joe Biden’s administration. It also was USDA policy during President Donald Trump’s first term.",supports
"Says Treasury Secretary Scott Bessent posted on X, “I’m committed to eliminating income taxes, replacing them with a fair consumption tax, and adopting gold-backed currency.”",This isn’t an X post from Treasury Secretary Scott Bessent. It was from an account that has since been suspended for violating the social media platform’s rules.,refutes
A video shows “people around the world” who are “protesting because Donald Trump is the president.”,The video shows London protesters opposing President Donald Trump’s first-term visit to the United Kingdom in 2018.,refutes
“Biden pardons are unconstitutional! 7th Circuit Court Judge Joseph Barron ruled that there is no provision to pardon someone who hasn’t been formally charged.”,This claim originated on a self-described satire site. It’s not true.,refutes
“Pfizer just released its list of side effects of its COVID-19 vaccine.”,"The list of health conditions is not newly released; it’s from a 2021 Pfizer report submitted to the Food and Drug Administration. | The list shows adverse events, not side effects, following COVID-19 vaccination in the first three months after the Pfizer-BioNTech vaccine was authorized in December 2020. | Adverse events are any health incidents reported following vaccination and do not mean that the vaccine caused the incident. Side effects are incidents caused by the vaccine.",refutes
“The VIP on the Black Hawk helicopter that crashed was Barack Obama.”,"Three soldiers from the Army’s 12th Aviation Battalion were aboard the military training flight that collided with an American Airlines jet Jan. 29, Defense Secretary Pete Hegseth said. | Former President Obama expressed his condolences Jan. 30 on X.",refutes
Image shows immigration officers arresting someone wearing a “Latinos for Trump 2024” shirt in 2025.,"This photo was altered; it is from a 2018 immigration raid. The original image doesn’t show someone wearing a ""Latinos for Trump 2024"" shirt.",refutes
"Images show a “beautiful baby boy, estimated to be between 7 months to a year old … found dumped by the roadside” in January 2025.",These photos are old and don’t show a baby dumped by a roadside in 2025.,refutes
Robert F. Kennedy Jr. “made $2.5 million off suing one of the entities that (he would be regulating) and plans to keep getting a take of every lawsuit in the future.”,"Over the past two years, Robert F. Kennedy Jr. earned more than $2.4 million as a consultant referring cases to the law firm Wisner Baum, government records show. Wisner Baum is suing Merck & Co. over allegations that the pharmaceutical company failed to properly warn patients about HPV vaccine risks. | The government documents don’t say for which cases Kennedy received compensation, so it’s unclear how much of that money, if any, came from the Merck lawsuit. Wisner Baum says he has been compensated only for non-vaccine-related cases. | Kennedy said if he is confirmed as health secretary, he would receive one final payment from Wisner Baum for his government-related legal work, but going forward, he would be paid only for nongovernmental legal cases.",supports
“DOGE and OMB also found that there was about to be $50 million taxpayer dollars that went out the door to fund condoms in Gaza.”,"There is no evidence that the U.S. earmarked $50 million in condoms to Gaza, or that it has recently spent $50 million on condoms in Gaza. | On X, a State Department spokesperson said the freeze stopped $100 million in funding to Gaza which included money for contraception. | The International Medical Corps in Gaza, which according to information the State Department provided multiple news outlets, would have received that aid, told PolitiFact it has not used any U.S. funding for condoms in Gaza.",refutes
"“JD Vance is in North Carolina, and he’s found furnished apartments to put the people in that have been living in tents.”","Vice President JD Vance has not visited North Carolina since he was sworn in. His first official trip was Jan. 27, when he surveyed Hurricane Helene damage in Damascus, Virginia. | When we searched using Google and the Nexis news archive, we found neither credible reports nor information supporting claims that Vance had provided furnished apartments for North Carolina’s Hurricane Helene victims. | The social media users who made videos claiming that Vance found North Carolina hurricane victims furnished apartments to move into cited no sources.",refutes
Reps. Alexandria Ocasio-Cortez and Jamie Raskin “have filed articles of impeachment against President Trump for pardoning the J6 prisoners.”,This isn’t true.,refutes
"""The Biden administration kicked 2,000 displaced North Carolinians out of their temporary housing into freezing 20-degree weather,"" earlier in January.","The Federal Emergency Management Agency provided hotel or motel rooms to North Carolinians who needed temporary housing after Hurricane Helene. FEMA reviews participants’ eligibility every two weeks. | As of Jan. 28, more than 2,600 North Carolina families remain in hotels. Of those, approximately 740 were notified the weekend of Jan. 18 that they have three weeks to leave because they no longer met the program’s criteria. | Periodically reviewing eligibility and removing some people from the program is standard procedure and also happened during Donald Trump’s first presidency.",uncertain
“Gavin Newsom directed the removal of Elon Musk from the command post and ordered Cal Fire firefighters to return donated starlinks.”,"""Gavin Newsom did not direct the removal of Elon Musk from the incident command post, nor did he order Cal Fire employees to return Starlink devices,"" a Cal Fire spokesperson said. ""Starlinks couldn’t be accepted due to our department policy prohibiting the acceptance of gifts.""",refutes
"Says Eric Trump post on X, “Any and all who dare to defy the American Golden Age, heed this warning: You WILL lose. Tow the line, or we WILL run you down!”",This purported X post was fabricated.,refutes
