claim,label_multi,label_bin,speaker,date_parsed
"Video shows a missile crashed in a Philadelphia neighborhood Jan. 31, not a jet.",refutes,0,Instagram posts,2025-02-05
"“U.S. figure skater Jon Maravilla was reportedly prevented from boarding a doomed flight to Washington, D.C.”",refutes,0,Threads posts,2025-02-05
"“El gobernador de California le ha dejado las cosas bien claras a Donald Trump que si llega a deportar a los inmigrantes que viven en California el estado independizara de Estados Unidos y se unirá con México"".",refutes,0,Instagram posts,2025-02-05
"Mexico’s President Claudia Sheinbaum said, “I’m confused. I keep hearing everyone from America saying that my country is sending felons and (rapists) into their country. We thought that was encouraged … considering that’s what they chose to be their president.”",refutes,0,Instagram posts,2025-02-05
"“The Trump administration is giving each and every adult in America $18,000.”",refutes,0,Instagram posts,2025-02-05
Ukrainian President Volodymyr Zelenskyy “just threw the whole Ukraine money laundering operation under the bus … by stating he’s received less than half of the over $177 billion in aid sent by the United States.”,refutes,0,Facebook posts,2025-02-05
“Melania wins $900 million ‘defamation lawsuit’ against The View & Sunny Hostin.”,refutes,0,Threads posts,2025-02-04
"Says White House Press Secretary Karoline Leavitt said, “Jesus didn’t have electricity and he did just fine.”",refutes,0,Threads posts,2025-02-04
Video shows “airplane crash with helicopter in Washington D.C.”,refutes,0,Facebook posts,2025-02-04
Ukrainian officials released list of “kickbacks” given to 18 U.S. politicians.,refutes,0,Facebook posts,2025-02-04
CNN reported on the Potomac River plane and helicopter crash “hours before it happened.”,refutes,0,Instagram posts,2025-02-04
“Elon Musk shocks the world by blocking Pride on X forever: ‘Children must come first.’”,refutes,0,Facebook posts,2025-02-04
"The National Human Trafficking Hotline “in the last four years decided that they would no longer report tips to law enforcement, that they would take a more victim-centered approach.”",refutes,0,Ashley Moody,2025-02-04
We’re one of the very few nations that allowed birthright citizenship.”,supports,1,Ron Johnson,2025-02-04
The Black Hawk helicopter involved in the American Airlines crash “was being controlled remotely.”,refutes,0,Threads posts,2025-02-03
"Video shows a dam breaking Sept. 28, 2024, in North Carolina.",refutes,0,Viral image,2025-02-03
"Photo shows “a dangerous serial killer” named Jaden Williams in Monroe, Louisiana.",refutes,0,Facebook posts,2025-02-03
"“1,500 IRS agents have submitted letters of resignation after Trump announced he would put 90,000 superfluous IRS personnel on border patrol.”",refutes,0,Instagram posts,2025-02-03
Photo shows Black Hawk helicopter pilot in fatal crash worked for years with President Joe Biden at the White House.,refutes,0,Instagram posts,2025-02-03
"A Jan. 6, 2021, U.S. Capitol rioter pardoned by President Donald Trump was “killed when she used her 2A rights with a shotgun while being served for eviction.”",refutes,0,Threads posts,2025-01-31
“A dangerous Hispanic couple” is “on the run after killing 3 female police officers.”,refutes,0,Facebook posts,2025-01-31
Video shows “Donald Trump just announced that America will no longer give visas to Nigerians.”,refutes,0,Viral image,2025-01-31
“Donald Trump is reportedly furious with Elon Musk for convincing him to push out the head of the FAA because Musk was mad SpaceX got fined last September by the FAA for license violations.”,refutes,0,Threads posts,2025-01-31
Imagen muestra a oficiales de inmigración arrestando a un hombre vestido con una camisa de “Latinos for Trump 2024”.,refutes,0,Instagram posts,2025-01-31
“I changed the Obama policy (on hiring air traffic controllers) ... And then Biden came in and he changed it.”,refutes,0,Donald Trump,2025-01-31
“ICE just announced it is pausing the hotline where people can call to report undocumented immigrants because 90% of the calls are from people reporting Elon Musk.”,refutes,0,Threads posts,2025-01-31
“The Episcopal Archdiocese of Washington has removed” Bishop Mariann Budde “from the National Cathedral.”,refutes,0,Threads posts,2025-01-31
“Pilot of Blackhawk helicopter that crashed into passenger jet at Reagan National was a transgender woman named Jo Ellis.”,refutes,0,Facebook posts,2025-01-31
"“As a Californian, we have given more to the recovery of other states than any other state in the union.”",supports,1,Adam Schiff,2025-01-31
The U.S. has an egg shortage because the “Biden administration and the Department of Agriculture directed the mass killing of more than 100 million chickens.”,supports,1,Karoline Leavitt,2025-01-30
"Says Treasury Secretary Scott Bessent posted on X, “I’m committed to eliminating income taxes, replacing them with a fair consumption tax, and adopting gold-backed currency.”",refutes,0,Viral image,2025-01-30
A video shows “people around the world” who are “protesting because Donald Trump is the president.”,refutes,0,Instagram posts,2025-01-30
“Biden pardons are unconstitutional! 7th Circuit Court Judge Joseph Barron ruled that there is no provision to pardon someone who hasn’t been formally charged.”,refutes,0,Instagram posts,2025-01-30
“Pfizer just released its list of side effects of its COVID-19 vaccine.”,refutes,0,Facebook posts,2025-01-30
“The VIP on the Black Hawk helicopter that crashed was Barack Obama.”,refutes,0,X posts,2025-01-30
Image shows immigration officers arresting someone wearing a “Latinos for Trump 2024” shirt in 2025.,refutes,0,Viral image,2025-01-30
"Images show a “beautiful baby boy, estimated to be between 7 months to a year old … found dumped by the roadside” in January 2025.",refutes,0,Facebook posts,2025-01-30
Robert F. Kennedy Jr. “made $2.5 million off suing one of the entities that (he would be regulating) and plans to keep getting a take of every lawsuit in the future.”,supports,1,Elizabeth Warren,2025-01-30
“DOGE and OMB also found that there was about to be $50 million taxpayer dollars that went out the door to fund condoms in Gaza.”,refutes,0,Karoline Leavitt,2025-01-30
"“JD Vance is in North Carolina, and he’s found furnished apartments to put the people in that have been living in tents.”",refutes,0,TikTok posts,2025-01-30
Reps. Alexandria Ocasio-Cortez and Jamie Raskin “have filed articles of impeachment against President Trump for pardoning the J6 prisoners.”,refutes,0,Threads posts,2025-01-29
“Gavin Newsom directed the removal of Elon Musk from the command post and ordered Cal Fire firefighters to return donated starlinks.”,refutes,0,Instagram posts,2025-01-29
"Says Eric Trump post on X, “Any and all who dare to defy the American Golden Age, heed this warning: You WILL lose. Tow the line, or we WILL run you down!”",refutes,0,Instagram posts,2025-01-29
North Carolina Republicans “took money out of western North Carolina” with Hurricane Helene relief bill.,supports,1,Roy Cooper,2025-01-29
"“Under Trump's executive order, every single person in America is now legally classified as female.”",refutes,0,X posts,2025-01-29
“President Trump just announced full nationwide concealed carry reciprocity.”,refutes,0,Facebook posts,2025-01-29
Image shows President Donald Trump’s response “to Selena Gomez’ meltdown.”,refutes,0,Viral image,2025-01-28
"“The Fraternal Order of Police, the largest police union in the country, just released a statement rescinding their endorsement of President Trump.”",refutes,0,Threads posts,2025-01-28
“Serial killer Ryan Edward … is on the run after killing 3 female police officers.”,refutes,0,Viral image,2025-01-28
“El presidente Donald Trump acaba de firmar una orden ejecutiva que prohíbe la residencia permanente a inmigrantes que se casen con un ciudadano estadounidense”.,refutes,0,Instagram posts,2025-01-28
"“Elon Musk confirms he will spend a massive amount to acquire MSNBC, vows to fire Joy Reid to ‘end toxicity.’”",refutes,0,Instagram posts,2025-01-28
Wisconsin makes it more difficult for its citizens to vote than almost any state in the nation.,supports,1,Common Cause,2025-01-28
A proposed constitutional amendment “would allow anyone to run for a 3rd term. Including — Barack Obama.”,refutes,0,Threads posts,2025-01-27
“BREAKING NEWS: Michael Jordan calls for ban on pride flag in sports and US school system.”,refutes,0,Facebook posts,2025-01-27
"President Donald Trump signed an executive order to replace the IRS with the External Revenue Service, eliminating tax returns and income tax.",refutes,0,Facebook posts,2025-01-27
The words “help” and “trafico” in a Google Maps aerial view of Los Angeles are connected to human trafficking.,refutes,0,Facebook posts,2025-01-27
"“Whoopi Goldberg, Megan Rapinoe and Taylor Swift decide to leave the United States.”",refutes,0,Facebook posts,2025-01-27
President Donald Trump’s birthright citizenship executive order would affect former Vice President Kamala Harris’ citizenship status.,refutes,0,Threads posts,2025-01-24
"Photos show Jeffrey Thomas, a “serial killer on the loose.”",refutes,0,Facebook posts,2025-01-24
“The removal of birthright citizenship only applies to the children of those that are here ILLEGALLY.”,refutes,0,Threads posts,2025-01-24
“The U.S. Senate has the votes to remove Trump from office if the House votes to impeach.”,refutes,0,X posts,2025-01-24
"After President Donald Trump took office, the U.S. government approved a 2025 $1,000 stimulus program for all Americans.",refutes,0,Facebook posts,2025-01-24
Video shows “roads heading to Mexico are jam packed as mass deportations have started.”,refutes,0,X posts,2025-01-24
“FEMA has been directed back to North Carolina with $2 billion in emergency funds: ‘We transferred it from the programs that fund welfare for illegals. They don’t be needing it.’”,refutes,0,Facebook posts,2025-01-24
President Donald Trump declared “a state of emergency in Florida because of snow.”,refutes,0,Threads posts,2025-01-24
“CBS Evening News” anchor Norah O’Donnell was fired.,refutes,0,Threads posts,2025-01-24
"The U.S. House Select Committee that investigated the Jan. 6, 2021, attack on the U.S. Capitol “deleted and destroyed all of the information that they collected over two years.”",refutes,0,Donald Trump,2025-01-24
"Video muestra a inmigrantes en México que ""se dirigen al punto de control en el Paso Texas con el objetivo de entrar a la fuerza hacia los Estados Unidos debido a que aplicación CBP One quedó fuera de servicio"".",refutes,0,X posts,2025-01-24
“Fani Willis has just confessed to collusion with J6 committee.”,refutes,0,Instagram posts,2025-01-24
Image shows President Donald Trump responding to a picture rapper Ye drew of them.,refutes,0,Viral image,2025-01-23
Sen. John Fetterman is leaving the Democratic Party.,refutes,0,Threads posts,2025-01-23
"President Donald Trump ""just reversed all the cost caps Biden negotiated for anyone on Medicare or Medicaid.""",refutes,0,Facebook posts,2025-01-23
Elon Musk posted on X that the MAGA movement will “succeed in all the ways Nazi Germany failed to.”,refutes,0,X posts,2025-01-23
Former President Joe Biden “pardoned Michael Byrd.”,refutes,0,Facebook posts,2025-01-23
"""Our nation’s tallest mountain … has been called Denali for thousands of years.""",supports,1,Lisa Murkowski,2025-01-23
Video shows Robert F. Kennedy Jr. promoting an alternative diabetes treatment.,refutes,0,Viral image,2025-01-23
“ICE has released the tip hotline to turn in illegal immigrants. They paying $750 for each illegal immigrant.”,refutes,0,Instagram posts,2025-01-23
"Voter ID ""is supported, if you look at any poll, by 70 to 80% of the public.""",supports,1,Robin Vos,2025-01-23
"After the inauguration, Meta forced users to follow President Donald Trump and Vice President JD Vance on Facebook, Instagram and Threads.",refutes,0,Social Media,2025-01-22
"""La nueva ley de apoyo infantil de Donald Trump...si recibes manutención infantil ya no podrás reclamar al niño en tus impuestos, solo la persona que está pagando la manutención puede"".",refutes,0,Facebook posts,2025-01-22
“The Equal Rights Amendment has become part of our Constitution.”,refutes,0,Joe Biden,2025-01-22
Former President Joe Biden’s farewell address was prerecorded and the event livestream shows “his handlers queuing it up.”,refutes,0,Social Media,2025-01-22
Video shows “The Simpsons” predicted the Los Angeles wildfires.,refutes,0,Facebook posts,2025-01-21
Videos show that President Donald Trump admitted to rigging the 2024 election during his preinauguration day rally.,refutes,0,Social Media,2025-01-21
"""Llego la ayuda Mexicana a California"" para combatir los incendios.",refutes,0,Instagram posts,2025-01-21
"Video shows a “group of South African firefighters who have landed in Canada to make their way to LA, to help.”",refutes,0,Viral image,2025-01-21
"“Whoopi Goldberg’s mansion in Los Angeles was destroyed in a wildfire, with damages estimated at millions of dollars.”",refutes,0,Facebook posts,2025-01-21
“Trump passed a new law that whoever is paying the child support will get to declare those children on their taxes.”,refutes,0,Social Media,2025-01-21
California wildfires have “nothing to do with climate change.”,refutes,0,Donald Trump Jr.,2025-01-21
Second lady Usha Vance “will have her citizenship revoked if (President Donald) Trump signs his executive order banning birthright citizenship.”,refutes,0,Threads posts,2025-01-21
The United States is the only country with unrestricted birthright citizenship.,refutes,0,Donald Trump,2025-01-21
Imágenes muestran animales heridos en los incendios de Los Ángeles.,refutes,0,Facebook posts,2025-01-21
President-elect Donald Trump posted on X that he is “purchasing TikTok.”,refutes,0,TikTok posts,2025-01-17
Buncombe County “is still demanding property taxes on homes destroyed by Hurricane Helene based on pre-Helene assessments that no longer apply.”,supports,1,Dana Loesch,2025-01-17
“All three California wild fires seem to start at the same time!”,refutes,0,Viral image,2025-01-17
“Jimmy Kimmel just announced that his show will end on January 20th … he’s leaving for Canada and says he’s ‘never coming back.’”,refutes,0,Facebook posts,2025-01-17
Video shows Mexican firefighters going to help with California fires.,refutes,0,Viral image,2025-01-17
"Amazon, Google, Meta, Microsoft, Apple and Uber haven’t donated anything toward LA fire relief, but Taylor Swift donated $10 million.",refutes,0,Social Media,2025-01-16
Los Angeles wildfires are part of a Hollywood conspiracy to cover up evidence related to Sean “Diddy” Combs.,refutes,0,Instagram posts,2025-01-16
“Bomberos que combaten los incendios en Los Ángeles sostienen imagen de Nuestra Madre Santísima”.,refutes,0,Facebook posts,2025-01-16
"“So (Los Angeles), Hollywood, and California (get) 100% aid for the next 180 days while Western North Carolina got $750.”",refutes,0,Facebook posts,2025-01-16
On banning TikTok,refutes,0,Donald Trump,2025-01-16
"Video clips show “wildfires in Los Angeles, California.”",refutes,0,Facebook posts,2025-01-16
“El Departamento de Bomberos de Los Ángeles está utilizando bolsos de mujer para recoger agua en su lucha contra el incendio”.,refutes,0,X posts,2025-01-16
“El ejército de Los Estados Unidos se encuentra preparado para entrar a Venezuela a derrocar la dictadura de Nicolás Maduro”.,refutes,0,Instagram posts,2025-01-16
The Biden administration is offering only “$770 for people who lost everything” in the Los Angeles wildfires.,refutes,0,Instagram posts,2025-01-15
“The FBI has arrested the owner of the company responsible for the fires in Los Angeles.”,refutes,0,Instagram posts,2025-01-15
Trees still standing amid wildfire damage in the Los Angeles area are evidence of directed energy weapons.,refutes,0,Viral image,2025-01-15
Photo shows Elon Musk and Taylor Swift visiting “production facilities” for an energy-saving device.,refutes,0,Viral image,2025-01-15
Video shows “Israeli tourists celebrating” the Los Angeles wildfires.,refutes,0,Instagram posts,2025-01-15
An image shows Robert Redford’s Oscar statuette destroyed in the Los Angeles wildfires.,refutes,0,Social Media,2025-01-15
“If they wanted to stop the fires they would make it rain.”,refutes,0,Threads posts,2025-01-15
“Oprah Winfrey announces she will leave America before January 20.”,refutes,0,Facebook posts,2025-01-15
"“After 30 years of Wisconsin’s checking account running a deficit, we've ended every fiscal year I've been governor with a positive balance. Today, we have a $4.5 billion positive balance, and a record-high balance in our state savings account.""",supports,1,Tony Evers,2025-01-15
“The LAFD are using women’s handbags to hold water to put out fires.”,refutes,0,Instagram posts,2025-01-14
Says President-elect Donald Trump posted on X that he will “be giving Staten Island to New Jersey.”,refutes,0,Instagram posts,2025-01-14
California Gov. Gavin Newsom and California Democrats “literally decriminalized looting.”,refutes,0,Threads posts,2025-01-14
"“​​Oregon sent 60 fire trucks to California to help with the fires, but they’re being held in Sacramento for emissions testing.”",refutes,0,Instagram posts,2025-01-14
The Los Angeles wildfires were planned in preparation for the 2028 Olympics.,refutes,0,Instagram posts,2025-01-14
"“One billionaire couple owns almost all the water in California.""",refutes,0,More Perfect Union,2025-01-14
“P Diddy’s California mansion has been completely consumed by fire.”,refutes,0,Facebook posts,2025-01-14
Imagen muestra “casa de familia católica salió intacta del incendio” en California en enero de 2025.,refutes,0,Facebook posts,2025-01-14
Los incendios en California “han llegado a Tijuana en la entrada de villa del campo en los cerros”.,refutes,0,Facebook posts,2025-01-13
Video shows people in Los Angeles looting from homes during wildfires.,refutes,0,Instagram posts,2025-01-13
A photo shows a Christian’s home that “miraculously survived Los Angeles wildfire.”,refutes,0,Facebook posts,2025-01-13
Image shows former President Barack Obama was born in Kenya.,refutes,0,Threads posts,2025-01-13
Esta imagen muestra los incendios en California de enero 2025.,refutes,0,Facebook posts,2025-01-13
“Blue items that survive” California wildfires are “indicative of DEW's (Directed Energy Weapons).”,refutes,0,Threads posts,2025-01-10
Imagen muestra el letrero de Hollywood en California en llamas el 8 de enero de 2025.,refutes,0,Facebook posts,2025-01-10
Video shows a man saving a bunny during the 2025 Los Angeles fires.,refutes,0,Facebook posts,2025-01-10
Image shows the Hollywood sign was on fire as of Jan. 8.,refutes,0,Social Media,2025-01-10
Video shows Dr. Mehmet Oz and rapper Snoop Dogg promoting treatment for chronic lung diseases.”,refutes,0,Viral image,2025-01-10
Video shows directed energy weapons starting fires in California.,refutes,0,X posts,2025-01-10
McQueen High School in Nevada issued a “masturbation notice” to students.,refutes,0,Viral image,2025-01-10
Actor Tom Hanks died in a “fatal car accident.”,refutes,0,Viral image,2025-01-10
“FEMA spent billions on illegal immigrants and now has no money for California!”,refutes,0,X posts,2025-01-10
California wildfires “are a deliberate criminal land grab in preparation for Agenda 2030 and smart cities.”,refutes,0,Threads posts,2025-01-09
"“Beyoncé alleges Diddy has been secretly hiding Michael Jackson, who faked his death.”",refutes,0,Facebook posts,2025-01-09
The Los Angeles Police Department is “looking for three ‘persons of interest’ all tied to a MAGA website who were spotted at the source of all three major LA fires.”,refutes,0,Threads posts,2025-01-09
“China declara estado de emergencia por brote masivo de virus mortales”.,refutes,0,Instagram posts,2025-01-09
"""Acaban declarar inocente a Sebastian Zapeta”, el hombre acusado de prender en llamas a una mujer en el metro de Nueva York.",refutes,0,Facebook posts,2025-01-09
"Says Elon Musk said, “The Boeing Starliner’s stranded astronauts are not with us anymore,” and “they won’t come back.”",refutes,0,Facebook posts,2025-01-08
“Mark Cuban shifts company from Texas to California: ‘Can’t operate in red states.’”,refutes,0,Threads posts,2025-01-08
“DEAL DONE: New Orleans Saints owner Gayle Benson make(s) a handshake deal of $789.5 million contract with former Saints QB Drew Brees as new general manager following Mickey Loomis departure…”,refutes,0,Facebook posts,2025-01-08
Video shows Sean “Diddy” Combs “riding a bike in jail.”,refutes,0,Viral image,2025-01-08
"President Joe Biden rescinded a Medal of Freedom given to Trump’s “campaign manager, Bradley Birkenfeld, in 2021.”",refutes,0,Grok AI,2025-01-07
China has “a mystery disease outbreak” and has declared a “state of emergency.”,refutes,0,Instagram posts,2025-01-07
“They’re still counting the (2024 election) vote in some areas.”,refutes,0,Donald Trump,2025-01-07
“Elon Musk has just acquired Boeing.”,refutes,0,Facebook posts,2025-01-07
"Video shows U.S. Rep. Nancy Pelosi, D-Calif., falling.",refutes,0,Viral image,2025-01-07
"Mike McCarthy “to take over as Head Coach for the San Francisco 49ers.""",refutes,0,Facebook posts,2025-01-07
"El doctor Juan Rivera revela ""un nuevo truco natural"" con ajo y limón para la diabetes.",refutes,0,Facebook posts,2025-01-07
"Mitchell County, North Carolina, sheriff’s deputies “stole” generators intended for Hurricane Helene victims.",refutes,0,TikTok posts,2025-01-06
“They still haven’t cracked” Thomas Matthew Crooks’ phone.,refutes,0,Instagram posts,2025-01-06
Photo shows a child “found” in several cities.,refutes,0,Facebook posts,2025-01-06
“22 states will not be certifying the (2024) election.”,refutes,0,Threads posts,2025-01-06
"“BREAKING: A second attack in New Orleans has been uncovered, police are searching.”",refutes,0,Facebook posts,2025-01-06
"“Trump won 18-to-24-year-olds in Wisconsin.""",supports,1,Social Media,2025-01-06
"""En Shanghai, se incendió ayer una bodega de la firma Temu”.",refutes,0,Facebook posts,2025-01-03
“Ella es Amelia Carter un hombre le prendió fuego mientras dormía en el tren de Nueva York”.,refutes,0,Facebook posts,2025-01-03
Photo shows a large Temu warehouse in China “went up in flames.”,refutes,0,Social Media,2025-01-03
"Video shows “Fort Worth, Texas pileup, January (1st), 2025.”",refutes,0,Instagram posts,2025-01-03
"Queen Consort Camilla revealed that she was ""born a man.”",refutes,0,Facebook posts,2025-01-02
“The subway burning victim's name was Amelia Carter.”,refutes,0,Facebook posts,2025-01-02
“There's never been a placebo-controlled study on childhood vaccines.”,refutes,0,Ron Johnson,2025-01-02
"“The true nature of cancer is a parasite, hence why, Ivermectin, in conjunction with mebendazole, and (fenbendazole) is so effective.”",refutes,0,Facebook posts,2024-12-30
Video shows CNN reporting that Pfizer representatives set Barbara O’Neill’s car on fire “for discovering an anti-diabetes method.”,refutes,0,Facebook posts,2024-12-30
"RFK Jr. posted on X that, “Effective January 20th, all Genetically Modified Organisms (GMOs) will be BANNED in the United States.”",refutes,0,Instagram posts,2024-12-30
"President Jimmy Carter verbatim said, “evangelical Christianity has been hijacked by people who would have given Jesus himself the boot if he knocked on their door.”",refutes,0,Threads posts,2024-12-30
“Bill Gates will be implanting digital IDs in newborns in Kenya.”,refutes,0,Instagram posts,2024-12-30
“The referees in the (Dec. 15) game between the Philadelphia Eagles and the Pittsburgh Steelers have been suspended after the match revealed that the officials overlooked numerous errors by the Eagles.”,refutes,0,Facebook posts,2024-12-30
"We’ve created 732,000 jobs since I've been governor.",supports,1,Kathy Hochul,2024-12-26
"Residents in states across the U.S. are eligible for a $2,200 holiday stimulus payment.",refutes,0,Facebook posts,2024-12-20
Video shows Dr. Mehmet Oz and singer Reba McEntire promoting treatment for chronic lung diseases.,refutes,0,Viral image,2024-12-20
The NFL punished three referees in “the game between the Atlanta Falcons and the Minnesota Vikings.”,refutes,0,Facebook posts,2024-12-20
"Image shows Kate, the Princess of Wales, without hair.",refutes,0,Viral image,2024-12-20
“The NFL has abruptly fired three referees who officiated the game between the San Francisco 49ers and the Los Angeles Rams.”,refutes,0,Facebook posts,2024-12-20
Video shows Vice President Kamala Harris “is plastered again!”,refutes,0,Instagram posts,2024-12-20
"Tipster in UnitedHealthcare CEO killing is ineligible for reward money ""because she called 911 instead of the tip line.""",refutes,0,Social Media,2024-12-19
Government shutdowns in 2013 and 2018 “cost our economy billions of dollars each.”,supports,1,Sara Jacobs,2024-12-19
"Spending plan to prevent a government shutdown includes “a pay increase for members of Congress from $174,000 to $243,000 per year.”",refutes,0,Department of Government Efficiency,2024-12-19
"“Ivermectin is a treatment after Covid and after vaccination, it is an effective medicine in all phases of Covid 19.”",refutes,0,Facebook posts,2024-12-19
Video shows footage of a “drone crash.”,refutes,0,Threads posts,2024-12-18
“Elon Musk unveils a $100 Tesla tablet that will revolutionize the technological world.”,refutes,0,Facebook posts,2024-12-18
"“A Coca-Cola truck filled with kids was found by police in Cicero, Illinois.”",refutes,0,Instagram posts,2024-12-18
"“Men’s swimming team refuses to compete against Lia Thomas, calling her a 'cheat'”",refutes,0,Facebook posts,2024-12-18
New Jersey drones are searching for missing radioactive material.,refutes,0,Instagram posts,2024-12-18
Video shows a drone crashed in New Jersey.,refutes,0,Instagram posts,2024-12-17
“The school shooter in Madison Wisconsin Christian School shooting has been identified as a female identifying as a male.”,refutes,0,Social Media,2024-12-17
"""The city of… is being warned to be alert & vigilant as there is a serial killer on the run,” Robert Thibodeau.",refutes,0,Facebook posts,2024-12-17
"Drones reported in the U.S., including around the U.S. Capitol, have directed-energy weapons that have a “space-based laser generating system that can create pestilence.”",refutes,0,Facebook posts,2024-12-17
Photo shows a downed drone,refutes,0,Doug Mastriano,2024-12-17
Photo of a young man in a tie shows Wisconsin school shooter Natalie Rupnow.,refutes,0,Instagram posts,2024-12-17
"Video shows “Yellowstone’s super volcano is now really, really exploding.”",refutes,0,Instagram posts,2024-12-17
"A video shows President Joe Biden saying, “There are no drones over the United States.”",refutes,0,Facebook posts,2024-12-16
“The Pentagon has confirmed that the mysterious drones appearing across the globe are NOT of earthly origin.”,refutes,0,Instagram posts,2024-12-16
“Pride flags permanently prohibited at FIFA Club World Cup 2025.”,refutes,0,Threads posts,2024-12-16
Photos show mysterious drones reported flying over parts of New Jersey in November and December 2024.,refutes,0,Threads posts,2024-12-13
Video shows Mitch McConnell appearing in a press conference with a bandage around his head.,refutes,0,Instagram posts,2024-12-13
Images show Taylor Swift with Elon Musk promoting a household energy consumption reduction device.,refutes,0,Facebook posts,2024-12-13
"“After meeting with Elon Musk, Republican leader Sen. John Thune announces plans to cut Social Security.”",refutes,0,Instagram posts,2024-12-13
Six hundred body bags were “filled the first day” of Hurricane Helene recovery in North Carolina.,refutes,0,Facebook posts,2024-12-13
“Dr. Assad will return to ophthalmology after being deposed as president of Syria and plans to set up an eye clinic in Russia.”,refutes,0,Viral image,2024-12-13
“Texas declares bringing a pride flag to the classroom a crime.”,refutes,0,Threads posts,2024-12-12
"Usuarios en redes sociales leen ‘manifiesto’ escrito por Luigi Mangione, el sospechoso de la muerte del ejecutivo de UnitedHealthcare.",refutes,0,TikTok posts,2024-12-12
“Elon Musk said he might run for governor of California.”,refutes,0,Threads posts,2024-12-12
Video shows actor Kevin Costner and Dr. Mehmet Oz discussing treatment for chronic lung diseases.,refutes,0,Facebook posts,2024-12-12
The 14th Amendment “has never been challenged at SCOTUS.”,refutes,0,Charlie Kirk,2024-12-12
"Taylor Swift vowed to leave Elon Musk’s “toxic app X,” during the final moments of her Eras tour, calling him “rich, talented but heartless and immoral.”",refutes,0,Facebook posts,2024-12-12
"“The Universities of Wisconsin are 43rd out of 50 states in the nation, in terms of public support for our universities. The $855 million (budget request) gets us up to average.”",supports,1,Jay Rothman,2024-12-12
“A $7.20 an hour McDonalds employee … now gets a cool 1/2 million dollar reward” for helping police find the suspected UnitedHealthcare CEO shooter.,refutes,0,Threads posts,2024-12-11
“Leaked secret recording” captured Ghana’s Vice President Mahamudu Bawumia calling Ghanaians “gullible and weak-minded.”,refutes,0,Facebook posts,2024-12-11
About 1% of federal employees are “actually working in the office.”,refutes,0,Mike Johnson,2024-12-11
“New $40K AIDS cure is nearly 100% effective and requires two shots yearly.”,refutes,0,Instagram posts,2024-12-11
Photo shows pile of X-rated DVDs found at former Syrian president Bashar Assad’s palace.,refutes,0,Threads posts,2024-12-11
"Substack article shows manifesto of Luigi Mangione, the suspect in health care executive's killing.",refutes,0,Social Media,2024-12-10
"“Brian Thompson, the CEO of UnitedHealthcare, was set to testify against Nancy Pelosi for insider trading.”",refutes,0,Social Media,2024-12-10
“Joe Rogan to replace Rachel Maddow as MSNBC’s prime-time host after Elon Musk takeover.”,refutes,0,Facebook posts,2024-12-10
Video shows Fox News host Jeanine Pirro criticizing President-elect Donald Trump.,refutes,0,Threads posts,2024-12-10
President-elect Donald Trump’s “plan to end birthright citizenship would mean (four) of his children wouldn't be considered US citizens.”,refutes,0,Threads posts,2024-12-10
"Elon Musk criticized the UnitedHealthcare CEO shooter on X, saying, “It’s disgusting how everyone is turning this guy into some kind of folk hero.”",refutes,0,Threads posts,2024-12-10
FEMA delivered “only four” temporary housing units to Helene victims in North Carolina as of Nov. 20.,supports,1,X posts,2024-12-10
"A “no-strings-attached $1,000 stimulus” check has been approved for “every U.S. resident” ahead of Donald Trump’s presidency.”",refutes,0,Facebook posts,2024-12-10
Video shows “NYC coming together to dance in the streets over the universal American love” of dead CEOs.,refutes,0,Instagram posts,2024-12-10
Video shows CEO homicide suspect Luigi Mangione posted YouTube videos teasing his plans,refutes,0,TikTok posts,2024-12-10
"Robert F. Kennedy Jr. posted on X that on Jan. 20, “I will be banning all consumption of Diet Coke in the United States.”",refutes,0,Instagram posts,2024-12-09
UnitedHealthcare posted a job opening for a CEO 24 hours after its CEO was killed.,refutes,0,Social Media,2024-12-09
"“The population in Gaza has increased by 2.02% since Oct. 7, 2023.”",refutes,0,Instagram posts,2024-12-06
"Elon Musk wrote on X that “without CEOs, the world would not be able to function” and “America will be destitute without us.”",refutes,0,Threads posts,2024-12-06
"""Vaccine researcher Peter Hotez says multiple viruses will be unleashed on America the day after Trump takes office.""",refutes,0,Instagram posts,2024-12-06
Fox News commentator Dr. Kelly Powers died from “turbo cancer” caused by COVID-19 vaccines.,refutes,0,Facebook posts,2024-12-06
“Trump was impeached for trying to investigate all the crimes that Joe Biden just pardoned Hunter over.”,refutes,0,Instagram posts,2024-12-06
“Elon Musk is not a citizen of the United States.”,refutes,0,Threads posts,2024-12-05
"""Última hora: secuestraron al doctor Juan J. Rivera quien reveló un remedio casero que elimina la causa de la diabetes en solo un día"".",refutes,0,Facebook posts,2024-12-05
Photo shows President Joe Biden used his son Hunter’s injuries from a car accident as a photo opportunity when taking the oath of office for Senate in 1973.,refutes,0,Facebook posts,2024-12-05
“Bill Gates has been indicted in the Netherlands.”,refutes,0,Instagram posts,2024-12-05
“Elon Musk decides to withdraw support” for World Boxing Organization unless Imane Khelif’s “medal and $25 million bonus are revoked.”,refutes,0,Facebook posts,2024-12-05
“Pete Buttigieg will leave his post as Transportation Secretary having spent $7.5 billion to build 8 EV charging stations.”,refutes,0,Michael Rulli,2024-12-05
"Former presidents George H.W. Bush and Jimmy Carter issued pardons to a son and brother, respectively.",refutes,0,Threads posts,2024-12-05
